gene,F_score,p_value,DH_ex_Sox5_mean,DH_ex_Sox5/Tac1_mean,mean_difference
Plxnc1,1.6877785339509572,0.19762581705720147,0.041666666666666664,0.11764705882352941,-0.07598039215686275
P2ry1,1.6877785339509572,0.19762581705720147,0.041666666666666664,0.11764705882352941,-0.07598039215686275
Pcdhgb4,1.6410635111112442,0.20388075269402386,0.10416666666666667,0.20588235294117646,-0.10171568627450979
Dlk1,1.6321189997544827,0.20510522281596316,0.1875,0.5588235294117647,-0.3713235294117647
Rorb,1.399364454755334,0.24033365252153902,0.1875,0.058823529411764705,0.12867647058823528
Pvalb,1.3926150409593065,0.24146111299173162,0.1875,0.35294117647058826,-0.16544117647058826
Qrfpr,1.3690496887752877,0.245449201796886,0.0625,0.0,0.0625
Bnc2,1.2861779652781449,0.2601404527128813,0.875,0.5,0.375
Cck,1.2344449975112004,0.2698724426881568,0.041666666666666664,0.14705882352941177,-0.10539215686274511
Sema7a,1.1524342176446443,0.2862676187975556,0.10416666666666667,0.23529411764705882,-0.13112745098039214
Pax2,1.151146463706304,0.28653508587926413,0.10416666666666667,0.029411764705882353,0.07475490196078433
Plxna1,1.0494570633720086,0.3087199076938657,0.1875,0.3235294117647059,-0.1360294117647059
Pcdhga6,0.998298355076574,0.3207352069386137,0.08333333333333333,0.029411764705882353,0.053921568627450976
Adcyap1r1,0.8930019661795172,0.34751051071754047,0.5416666666666666,0.7352941176470589,-0.19362745098039225
Gabra1,0.8030500861753808,0.37287163953156566,0.020833333333333332,0.058823529411764705,-0.037990196078431376
Cdh19,0.7635206786850481,0.38484445905774606,0.0625,0.11764705882352941,-0.05514705882352941
Pcdhb19,0.7422447248708531,0.39151776118380943,0.041666666666666664,0.08823529411764706,-0.0465686274509804
Pcdhga12,0.7288545039114954,0.3958038588297247,0.10416666666666667,0.20588235294117646,-0.10171568627450979
Nrp1,0.6537334190694631,0.4211789923531279,0.125,0.20588235294117646,-0.08088235294117646
Sema5b,0.5568056231508249,0.4577373316065434,0.16666666666666666,0.08823529411764706,0.07843137254901959
Sema4d,0.5145866908486083,0.47524940167668367,0.10416666666666667,0.058823529411764705,0.045343137254901966
Chrnb2,0.46835715368389047,0.495721752585564,0.6041666666666666,0.7647058823529411,-0.1605392156862745
Notch2,0.370054557892014,0.5446978351150298,0.6666666666666666,0.5,0.16666666666666663
Chrm4,0.30813684147808257,0.58037460318066,0.0625,0.08823529411764706,-0.025735294117647065
Plxnb1,0.30813684147808257,0.58037460318066,0.0625,0.08823529411764706,-0.025735294117647065
Vgf,0.26572835694059793,0.6076333574123722,0.4166666666666667,0.4117647058823529,0.004901960784313764
Adra2a,0.2625796520742641,0.609765307144115,0.2708333333333333,0.23529411764705882,0.035539215686274495
Pax6,0.2605170465873604,0.6111706538616551,0.08333333333333333,0.11764705882352941,-0.03431372549019608
Grik5,0.2245685698659497,0.6368715128726047,1.1666666666666667,1.5294117647058822,-0.3627450980392155
Htr4,0.19007903796731823,0.664025072826432,0.0625,0.08823529411764706,-0.025735294117647065
Pts,0.172369214858228,0.6791261184971665,0.08333333333333333,0.058823529411764705,0.024509803921568624
Rnf220,0.16030104294642228,0.6899466816490566,1.9791666666666667,2.0294117647058822,-0.05024509803921551
Gad2,0.14511825716837223,0.7042546296878474,0.2708333333333333,0.23529411764705882,0.035539215686274495
Mc4r,0.13957126469730347,0.7096958231070898,0.16666666666666666,0.11764705882352941,0.04901960784313725
Calb1,0.13797781549104868,0.7112816415656132,0.3333333333333333,0.38235294117647056,-0.04901960784313725
Pdzrn3,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Pmp22,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Pcdhb11,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Spr,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Pcdhga10,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
