section,ei_group,n_cells,n_cell_types,cell_types,route_type,best_model,number_of_genes,inner_accuracy,inner_balanced_accuracy,inner_macro_f1,outer_fold
14,excitatory,75,1,MV_ex_Syt2,direct_section_EI,,,,,,3
14,inhibitory,42,1,MV_in_Esrrb,direct_section_EI,,,,,,3
15,ALL,63,1,MV_in_Sema5b,direct_section,,,,,,3
16,ALL,97,1,MV_in_Gabra1,direct_section,,,,,,3
17,ALL,2,1,VH_in_Chat,direct_section,,,,,,3
18,ALL,28,1,MV_ex_Shox2,direct_section,,,,,,3
19,inhibitory,89,2,MV_in_Chrna2 | MV_in_Gm26673,subgroup_model,LogisticRegression,5.0,0.8764705882352942,0.8733333333333334,0.804567597153804,3
2,excitatory,42,2,DH_ex_Gpr83 | DH_ex_Grpr,subgroup_model,LogisticRegression,1.0,0.65,0.655,0.6099511599511599,3
2,inhibitory,39,1,DH_in_Pdyn,direct_section_EI,,,,,,3
20,__NA__,6,1,visceral_motoneuron,direct_section_EI,,,,,,3
20,excitatory,32,2,M_ex_Vsx2 | M_ex_Vsx2/Shox2,subgroup_model,LogisticRegression,1.0,1.0,1.0,1.0,3
21,ALL,5,1,cholinergic_interneuron,direct_section,,,,,,3
22,__NA__,114,3,alpha_motoneuron | beta_motoneuron | gamma_motoneuron,subgroup_model,LogisticRegression,5.0,0.7019762845849803,0.7565079365079364,0.6488612409302065,3
3,excitatory,61,2,DH_ex_Cpne4 | DH_ex_Reln/Nmur2,subgroup_model,ExtraTrees,5.0,0.9179487179487179,0.8555555555555555,0.8724802201582389,3
4,inhibitory,40,2,DH_in_Cdh3 | DH_in_Npy,subgroup_model,LogisticRegression,1.0,0.95,0.9722222222222222,0.9019607843137255,3
5,excitatory,54,2,DH_ex_Sox5 | DH_ex_Sox5/Tac1,subgroup_model,LogisticRegression,1.0,1.0,1.0,1.0,3
5,inhibitory,17,1,DH_in_Pdyn/Gal,direct_section_EI,,,,,,3
6,excitatory,59,3,DH_ex_Grp | DH_ex_Prkcg/Rxfp1 | DH_ex_Reln,subgroup_model,LogisticRegression,5.0,0.7272727272727273,0.72,0.7064021164021164,3
7,ALL,19,1,DH_in_Rorb,direct_section,,,,,,3
8,excitatory,122,4,DH_ex_Nmu/Tac2 | DH_ex_Prkcg/Cck | DH_ex_Prkcg/Nts | DH_ex_Tac2,subgroup_model,RandomForest,10.0,0.673,0.6469444444444443,0.6228470703702902,3
9,inhibitory,31,2,DH_in_Kcnip2 | DH_in_Npy2r,subgroup_model,RandomForest,5.0,0.8380952380952381,0.6599999999999999,0.5991258741258741,3
__NA__,__NA__,1973,16,Schwann_cell | astrocyte_1 | astrocyte_2 | endothelial | ependymal | meninges_1 | meninges_2 | meninges_3 | microglia | oligodendrocyte_1 | oligodendrocyte_2 | oligodendrocyte_precursor_cell | oligodendrocyte_progenitor_1 | oligodendrocyte_progenitor_2 | pericyte | peripheral_glia,subgroup_model,LogisticRegression,40.0,0.6000912420484482,0.6086290096795665,0.5515091308492732,3
