model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
RandomForest,10,0.8923976608187134,0.04848513994894531,0.8542124542124542,0.07510202732580781,0.8599089926676132,0.06835688709232213,3,excitatory
RandomForest,40,0.902923976608187,0.06285937682706562,0.8518315018315018,0.08992595659260598,0.8699197226783433,0.08529736530361148,3,excitatory
ExtraTrees,2,0.9035087719298247,0.03914198954545383,0.8518315018315018,0.07077961989282068,0.8693858287306563,0.05696555990608223,3,excitatory
RandomForest,20,0.8923976608187134,0.04848513994894531,0.8446886446886446,0.07857522809874479,0.8571251098837305,0.06783653464690781,3,excitatory
LogisticRegression,20,0.8608187134502924,0.05355269344300857,0.843992673992674,0.061888763999129855,0.8327598327598327,0.059753519307966844,3,excitatory
ExtraTrees,3,0.8824561403508773,0.06266867052453247,0.8380952380952381,0.10368494053344506,0.8409000884173297,0.0906311274802302,3,excitatory
LogisticRegression,2,0.8608187134502924,0.04041439191385027,0.8355677655677656,0.05380432453680081,0.8267980295566503,0.04179595962387392,3,excitatory
LogisticRegression,10,0.8286549707602339,0.062043448935086974,0.834871794871795,0.10106973885290989,0.7970702630702631,0.08340534725252385,3,excitatory
LogisticRegression,3,0.8608187134502924,0.07130187555033396,0.8327838827838828,0.10266374019502977,0.8213886981473187,0.0943013330453191,3,excitatory
LogisticRegression,5,0.8403508771929824,0.08813934517249453,0.8308058608058608,0.10191819115553707,0.8080214727800934,0.10377682662703355,3,excitatory
ExtraTrees,20,0.8707602339181285,0.06570559955643572,0.8298534798534798,0.10251621069191152,0.8313371813371813,0.09415526363623261,3,excitatory
RandomForest,3,0.8602339181286549,0.05380116959064325,0.8193772893772895,0.06054174955293097,0.8226725254311461,0.06701075604219263,3,excitatory
RandomForest,2,0.8707602339181285,0.042989417425705494,0.8164468864468866,0.05516444599972671,0.8312418615866892,0.05654145517141386,3,excitatory
ExtraTrees,10,0.8608187134502924,0.07130187555033399,0.8109523809523809,0.09851044812618955,0.8165083192669398,0.09323991251615708,3,excitatory
RandomForest,5,0.8397660818713449,0.056679912030238255,0.786043956043956,0.06270152873023177,0.7940589168175375,0.06857843960048646,3,excitatory
ExtraTrees,5,0.8292397660818713,0.06866303986374017,0.7761172161172161,0.07576935251508504,0.7809083636669845,0.08333696254662998,3,excitatory
RandomForest,1,0.795906432748538,0.038454461339821285,0.7609157509157509,0.06969047135312789,0.7491366870677215,0.059499005143842446,3,excitatory
LogisticRegression,1,0.7549707602339181,0.11068555007551792,0.7463003663003663,0.11306817163622435,0.7211376956376957,0.11743975013065322,3,excitatory
ExtraTrees,1,0.7859649122807018,0.06388470686327413,0.7358241758241757,0.09083293403588236,0.7324973544973545,0.08374386208274727,3,excitatory
LogisticRegression,1,0.9666666666666666,0.04082482904638632,0.9818181818181818,0.022268088570756142,0.9238095238095237,0.09331389496316868,4,inhibitory
LogisticRegression,2,0.9666666666666666,0.04082482904638632,0.9818181818181818,0.022268088570756142,0.9238095238095237,0.09331389496316868,4,inhibitory
LogisticRegression,3,0.9666666666666666,0.04082482904638632,0.9818181818181818,0.022268088570756142,0.9238095238095237,0.09331389496316868,4,inhibitory
LogisticRegression,5,0.95,0.06666666666666667,0.9727272727272727,0.03636363636363633,0.9019047619047619,0.12503423567448618,4,inhibitory
RandomForest,5,0.9818181818181818,0.036363636363636376,0.9,0.2,0.8952380952380953,0.20952380952380953,4,inhibitory
LogisticRegression,10,0.9818181818181818,0.036363636363636376,0.9,0.2,0.8952380952380953,0.20952380952380953,4,inhibitory
ExtraTrees,1,0.9666666666666666,0.04082482904638632,0.890909090909091,0.1962457558629355,0.8575569358178055,0.203490917093172,4,inhibitory
ExtraTrees,2,0.9651515151515151,0.04274768478686633,0.890909090909091,0.1962457558629355,0.8571428571428571,0.20426295799549732,4,inhibitory
RandomForest,3,0.9651515151515151,0.04274768478686633,0.890909090909091,0.1962457558629355,0.8571428571428571,0.20426295799549732,4,inhibitory
ExtraTrees,3,0.9651515151515151,0.04274768478686633,0.890909090909091,0.1962457558629355,0.8571428571428571,0.20426295799549732,4,inhibitory
RandomForest,1,0.95,0.04082482904638632,0.8818181818181818,0.19198829165402614,0.8194616977225673,0.19068491579430125,4,inhibitory
RandomForest,2,0.9484848484848485,0.04215281134316231,0.8818181818181818,0.19198829165402614,0.819047619047619,0.19142620230706459,4,inhibitory
ExtraTrees,5,0.9651515151515151,0.04274768478686633,0.8,0.2449489742783178,0.7908902691511387,0.256106907279748,4,inhibitory
RandomForest,10,0.9651515151515151,0.04274768478686633,0.8,0.2449489742783178,0.7908902691511387,0.256106907279748,4,inhibitory
LogisticRegression,40,0.9484848484848485,0.06748805288278813,0.7909090909090909,0.2564861087211979,0.7861471861471861,0.26200456042853665,4,inhibitory
LogisticRegression,20,0.9318181818181819,0.06283770107069006,0.7818181818181819,0.24962782214083604,0.7480519480519481,0.24115934695831945,4,inhibitory
ExtraTrees,10,0.9484848484848485,0.04215281134316231,0.7,0.2449489742783178,0.6865424430641822,0.25593814005981563,4,inhibitory
RandomForest,40,0.9484848484848485,0.04215281134316231,0.7,0.2449489742783178,0.6865424430641822,0.25593814005981563,4,inhibitory
RandomForest,20,0.9318181818181817,0.03421693875950369,0.6,0.20000000000000004,0.5821946169772256,0.20890423045024895,4,inhibitory
ExtraTrees,20,0.915151515151515,0.0030303030303030277,0.5,0.0,0.47784679089026916,0.0008281573498964967,4,inhibitory
ExtraTrees,40,0.915151515151515,0.0030303030303030277,0.5,0.0,0.47784679089026916,0.0008281573498964967,4,inhibitory
LogisticRegression,20,1.0,0.0,1.0,0.0,1.0,0.0,5,excitatory
LogisticRegression,1,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
