,Predicted_DH_ex_Cpne4,Predicted_DH_ex_Gpr83,Predicted_DH_ex_Grp,Predicted_DH_ex_Grpr,Predicted_DH_ex_Maf/Cck,Predicted_DH_ex_Maf/Cpne4,Predicted_DH_ex_Maf/Slc17a8,Predicted_DH_ex_Nmu/Tac2,Predicted_DH_ex_Prkcg/Cck,Predicted_DH_ex_Prkcg/Nts,Predicted_DH_ex_Prkcg/Rxfp1,Predicted_DH_ex_Reln,Predicted_DH_ex_Reln/Nmur2,Predicted_DH_ex_Reln/Npff,Predicted_DH_ex_Rreb1,Predicted_DH_ex_Sox5,Predicted_DH_ex_Sox5/Tac1,Predicted_DH_ex_Tac2,Predicted_DH_in_Cdh3,Predicted_DH_in_Kcnip2,Predicted_DH_in_Klhl14,Predicted_DH_in_Npy,Predicted_DH_in_Npy2r,Predicted_DH_in_Pdyn,Predicted_DH_in_Pdyn/Gal,Predicted_DH_in_Rorb,Predicted_DM_ex_Zfhx3,Predicted_MV_ex_Shox2,Predicted_MV_ex_Syt2,Predicted_MV_in_Chrna2,Predicted_MV_in_Esrrb,Predicted_MV_in_Gabra1,Predicted_MV_in_Gm26673,Predicted_MV_in_Sema5b,Predicted_M_ex_Neurod2,Predicted_M_ex_Vsx2,Predicted_M_ex_Vsx2/Shox2,Predicted_M_in_Tfap2b,Predicted_Schwann_cell,Predicted_VH_in_Chat,Predicted_alpha_motoneuron,Predicted_astrocyte_1,Predicted_astrocyte_2,Predicted_beta_motoneuron,Predicted_cholinergic_interneuron,Predicted_endothelial,Predicted_ependymal,Predicted_gamma_motoneuron,Predicted_meninges_1,Predicted_meninges_2,Predicted_meninges_3,Predicted_microglia,Predicted_oligodendrocyte_1,Predicted_oligodendrocyte_2,Predicted_oligodendrocyte_precursor_cell,Predicted_oligodendrocyte_progenitor_1,Predicted_oligodendrocyte_progenitor_2,Predicted_pericyte,Predicted_peripheral_glia,Predicted_visceral_motoneuron
Actual_meninges_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0
Actual_microglia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,59,0,1,1,0,0,0,0,0
Actual_oligodendrocyte_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,33,2,0,4,0,25,7,79,36,10,5,45,7,0,0
Actual_oligodendrocyte_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,23,13,356,8,2,6,1,0,0
Actual_oligodendrocyte_precursor_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,6,0,0,0,0,0,3,2,3,44,41,1,0,1,0
Actual_oligodendrocyte_progenitor_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,0,0,0,0
Actual_oligodendrocyte_progenitor_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,20,0,0,40,5,0,10,6,45,21,96,112,21,9,291,5,0,0
Actual_pericyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,10,0,0,0,1,0,1,0,1,1,1,0,20,0,0
Actual_peripheral_glia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,5,0
Actual_visceral_motoneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
