model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
RandomForest,40,0.6790513833992095,0.048370145583488865,0.7187301587301588,0.07945011317643957,0.621631578298245,0.048245599629647945,22,__NA__,1
RandomForest,20,0.6782608695652174,0.0945267473924582,0.7012698412698413,0.08110722818649854,0.622974358974359,0.09283142878402995,22,__NA__,1
RandomForest,10,0.6517786561264821,0.0889231439634644,0.7,0.08420182355476087,0.5907371344852604,0.08840194799879322,22,__NA__,1
ExtraTrees,20,0.6881422924901186,0.1060615062278186,0.6898412698412699,0.09880413703682062,0.614254239587573,0.08954834305559677,22,__NA__,1
ExtraTrees,5,0.6237154150197628,0.08215831231773034,0.6736507936507936,0.05272709106832164,0.5600697120482068,0.06965057194222757,22,__NA__,1
LogisticRegression,5,0.5802371541501976,0.04634123980144519,0.6387301587301587,0.0661552568932602,0.5239543172876506,0.062081928422263115,22,__NA__,1
ExtraTrees,3,0.5790513833992095,0.09229058575618193,0.6206349206349205,0.10545704915474975,0.5200537240537241,0.08403406108298617,22,__NA__,1
RandomForest,5,0.6233201581027668,0.08874904158536721,0.6165079365079364,0.11681763259223549,0.5507464880798214,0.09316020175815894,22,__NA__,1
LogisticRegression,2,0.5075098814229249,0.09879367375133392,0.6063492063492064,0.021647907455533053,0.47266299990937666,0.06593786986734426,22,__NA__,1
LogisticRegression,3,0.508300395256917,0.07815099885322208,0.5796825396825396,0.10021594220385545,0.4651704591704592,0.06911063603513282,22,__NA__,1
RandomForest,3,0.642292490118577,0.06554594447342686,0.5682539682539682,0.1236262379594969,0.5432483605601885,0.09257109817264648,22,__NA__,1
ExtraTrees,2,0.5533596837944664,0.14079692745820604,0.5453968253968253,0.14905294376613792,0.49428656475033284,0.1311983160170692,22,__NA__,1
RandomForest,2,0.5715415019762846,0.11854676819546746,0.5253968253968254,0.09905067150363614,0.49372064328586074,0.09553897845922991,22,__NA__,1
LogisticRegression,1,0.4632411067193676,0.06488235898958633,0.5174603174603174,0.12928471551934756,0.4532844932844933,0.060652768657658264,22,__NA__,1
ExtraTrees,1,0.5806324110671938,0.09470012597134483,0.4819047619047619,0.12223087992424284,0.47279207534279993,0.0746853589426148,22,__NA__,1
RandomForest,1,0.5968379446640316,0.08054905402232629,0.4431746031746032,0.06898026271326411,0.454943204943205,0.05381367475763284,22,__NA__,1
RandomForest,40,0.9217948717948719,0.04871794871794872,0.8805555555555555,0.08678055195451839,0.894861172539191,0.06986080949464586,3,excitatory,1
ExtraTrees,40,0.9217948717948719,0.04871794871794872,0.8666666666666666,0.08079466429027217,0.8923057644110276,0.06930772164156007,3,excitatory,1
LogisticRegression,20,0.8910256410256409,0.07798413500382333,0.8444444444444444,0.09018157267082183,0.8608742444346159,0.09016564035871738,3,excitatory,1
RandomForest,20,0.873076923076923,0.08391317011258242,0.8333333333333334,0.09899183156225258,0.8405024816944321,0.10336380601721479,3,excitatory,1
ExtraTrees,20,0.8743589743589745,0.06301643962792056,0.8055555555555556,0.09781564923143894,0.8255555555555556,0.0872487574640026,3,excitatory,1
LogisticRegression,10,0.8282051282051281,0.10179196533989338,0.8,0.10266510340320185,0.7962418300653594,0.10894054436246015,3,excitatory,1
RandomForest,5,0.8448717948717949,0.107905771346158,0.7972222222222222,0.1253390463630942,0.8077568922305766,0.12661421740840897,3,excitatory,1
RandomForest,10,0.8435897435897436,0.08442091093925295,0.7972222222222222,0.11235415786753715,0.8021512113617376,0.10791996149985068,3,excitatory,1
ExtraTrees,10,0.8589743589743589,0.0548442298364293,0.7861111111111111,0.05527707983925664,0.8113826232247284,0.06254466741926115,3,excitatory,1
LogisticRegression,2,0.8128205128205128,0.12445806255909328,0.775,0.1384437310486346,0.7758305076416531,0.13942381200807913,3,excitatory,1
LogisticRegression,40,0.8256410256410257,0.06005147912118136,0.7694444444444445,0.08268264481187343,0.7757447540419677,0.0874989564517791,3,excitatory,1
LogisticRegression,1,0.7628205128205129,0.04514568426066414,0.7694444444444444,0.06370747189544286,0.7350350140056022,0.04736667759871964,3,excitatory,1
LogisticRegression,3,0.8141025641025641,0.13311125489658882,0.7611111111111111,0.14337208778404378,0.7724762887611185,0.14803911793067506,3,excitatory,1
