gene,F_score,p_value,DH_in_Npy_mean,DH_in_Cdh3_mean,mean_difference
Adcyap1r1,0.2880574762207323,0.5935568157514466,1.1296296296296295,1.4,-0.27037037037037037
Qrfpr,0.25340372325646027,0.616628428602847,0.12962962962962962,0.2,-0.07037037037037039
Ptgds,0.22379636871356326,0.6379690289867679,0.7407407407407407,0.6,0.14074074074074072
Pcdhb11,0.2116476465260066,0.6472291885962039,0.12962962962962962,0.2,-0.07037037037037039
Plxnc1,0.15110657718371046,0.6989283912545292,0.37037037037037035,0.2,0.17037037037037034
Chrnb2,0.14763370445043872,0.7022367247901002,1.2777777777777777,1.2,0.07777777777777772
Gabrb3,0.14320550813981686,0.7065206721533428,0.25925925925925924,0.4,-0.14074074074074078
Plxna1,0.1322355018897355,0.7174706721631,0.48148148148148145,0.6,-0.11851851851851852
Sstr3,0.08870898550723504,0.766907797123415,0.18518518518518517,0.2,-0.014814814814814836
Nrp1,0.083462063856036,0.7737075252590017,0.3333333333333333,0.2,0.1333333333333333
Dpy19l1,0.07504745349185417,0.7851149783539824,0.3333333333333333,0.2,0.1333333333333333
Jag2,0.06577912116377632,0.7985079862191214,0.3148148148148148,0.2,0.11481481481481481
Fosb,0.026204160336358234,0.8719751784097343,0.2037037037037037,0.2,0.0037037037037036813
Sema6d,0.024027463523361495,0.8773626522538374,2.388888888888889,2.6,-0.21111111111111125
Pdyn,0.019376468469390742,0.8897832577023893,0.2037037037037037,0.2,0.0037037037037036813
Esrrg,0.0030749191032387086,0.955972321936759,0.35185185185185186,0.2,0.15185185185185185
