gene,F_score,p_value,MV_in_Esrrb_mean,MV_ex_Syt2_mean,mean_difference
Onecut2,7.955818507883571,0.005350303777090431,0.1111111111111111,0.4778761061946903,-0.3667649950835792
Pcdhb21,7.524035233255436,0.00672554811395237,0.015873015873015872,0.17699115044247787,-0.161118134569462
Grik3,7.34187382063533,0.007410632683354524,0.3492063492063492,1.0265486725663717,-0.6773423233600225
P2rx7,7.322099640189836,0.0074892147524622974,0.25396825396825395,0.48672566371681414,-0.23275740974856018
Gabrb3,7.118018898268507,0.008352327298557035,0.23809523809523808,0.5663716814159292,-0.3282764433206911
Adamts2,7.107952712557164,0.008397470848084418,0.015873015873015872,0.23893805309734514,-0.22306503722432927
Pcdhb9,7.07550090263436,0.008544731236499006,0.047619047619047616,0.25663716814159293,-0.20901812052254531
Sema3a,7.012616709918501,0.008837735494033043,0.0,0.168141592920354,-0.168141592920354
Bdnf,6.984008294748872,0.008974453646593668,0.0,0.1415929203539823,-0.1415929203539823
Farp2,6.747337920021768,0.010192915859075025,0.15873015873015872,0.4778761061946903,-0.31914594746453157
Cck,6.509263570772839,0.011592295329877118,0.09523809523809523,0.5132743362831859,-0.41803624104509063
P2rx3,6.471637674447307,0.011831053443553825,0.06349206349206349,0.22123893805309736,-0.15774687456103387
Fosb,6.2218440509404855,0.013551143914383735,0.031746031746031744,0.20353982300884957,-0.17179379126281782
Sema4c,5.695236841796621,0.01808415107786377,0.1111111111111111,0.37168141592920356,-0.26057030481809246
Pcdhga12,5.545363399279356,0.019644542746172465,0.06349206349206349,0.22123893805309736,-0.15774687456103387
Gabrg2,5.511060543494151,0.020021054922030972,0.15873015873015872,0.3805309734513274,-0.2218008147211687
Pcdhb19,5.2899511566960085,0.02263610624381538,0.06349206349206349,0.21238938053097345,-0.14889731703890996
Notch2,5.202971175076028,0.02376059264492898,0.31746031746031744,0.6283185840707964,-0.310858266610479
Cckar,5.080175558211567,0.025448684352087067,0.047619047619047616,0.17699115044247787,-0.12937210282343026
Sema3g,4.90178171536694,0.028128594728514176,0.015873015873015872,0.11504424778761062,-0.09917123191459475
Trhr2,4.745454545454544,0.03072087953188329,0.0,0.07079646017699115,-0.07079646017699115
Esrrg,4.698616499198383,0.03154560725584133,2.4761904761904763,4.646017699115045,-2.1698272229245683
Pkd2l1,4.667180166477014,0.03211219236757401,0.14285714285714285,0.30973451327433627,-0.16687737041719342
Gad2,4.351252851948368,0.03844035176547374,0.746031746031746,0.415929203539823,0.33010254249192306
Pcdhgb2,4.318342705914836,0.03917155865505457,0.06349206349206349,0.19469026548672566,-0.13119820199466217
Pcdhga9,4.242923888085857,0.04090335729609434,0.031746031746031744,0.18584070796460178,-0.15409467621857004
Lhx9,4.1456545625243875,0.04325762164833647,0.031746031746031744,0.168141592920354,-0.13639556117432225
Pmp22,3.9121083051550745,0.049518245423803446,0.06349206349206349,0.21238938053097345,-0.14889731703890996
Zfhx3,3.7686313971708114,0.05383783801395071,0.9206349206349206,1.5663716814159292,-0.6457367607810086
Npb,3.67547047123623,0.056857028701033145,0.015873015873015872,0.08849557522123894,-0.07262255934822306
Pts,3.5815192053824827,0.060086259196111644,0.047619047619047616,0.1592920353982301,-0.11167298777918247
Pcdhga6,3.5499138823629552,0.061216360278412145,0.047619047619047616,0.18584070796460178,-0.13822166034555416
Dpy19l1,3.541562969722886,0.06151875859242447,0.2857142857142857,0.6460176991150443,-0.36030341340075855
Drd1,3.492565845369582,0.06332566534767523,0.0,0.05309734513274336,-0.05309734513274336
Pcdhgb5,3.4829247753833767,0.06368788026098217,0.1111111111111111,0.23008849557522124,-0.11897738446411013
Nrp1,3.47344154208518,0.0640463405144229,0.06349206349206349,0.18584070796460178,-0.12234864447253829
Hrh2,3.387300254599751,0.06740372038843682,0.14285714285714285,0.30973451327433627,-0.16687737041719342
Chrna2,3.352855382314469,0.06879889500933496,0.0,0.061946902654867256,-0.061946902654867256
Calcrl,3.3066162347169232,0.07072101723538286,0.0,0.07079646017699115,-0.07079646017699115
